,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
332,suldal,3794,764,1468,596,145,16,23 704,"82,5","4,6","80,1",84,"10,5",52 281,154 478,145 176
333,sund,7062,1598,2488,932,198,34,14 747,"75,2","13,1",80,"84,3","3,3",75 661,78 967,76 362
334,sunndal,7106,1579,2815,1102,297,26,13 343,"81,5","6,2","80,6","84,7","-0,3",72 975,112 548,114 385
335,surnadal,5928,1479,2300,876,184,14,11 943,"89,1","2,8","80,6","84,7","-2,6",61 721,94 341,96 744
336,sveio,5721,1186,1955,869,193,23,12 457,"80,4",8,80,"84,3","5,3",54 996,88 709,84 891
337,svelvik,6685,1750,2333,1034,210,37,5 718,"73,9",10,"79,3","83,7","-1,4",55 316,72 763,74 260
338,sykkylven,7657,1947,2527,1284,221,38,14 353,"80,4","7,8","80,6","84,7","0,3",66 476,71 950,71 939
339,sogne,11403,2305,3807,2022,540,36,32 492,"69,4","16,2","79,7","83,7","0,3",50 104,73 029,74 141
340,somna,2014,553,706,303,50,11,2 095,"85,4","5,1",79,"83,3","3,5",73 356,115 793,111 729
341,sondre-land,5623,1703,1951,806,174,66,10 686,"81,4",6,"79,3","82,9","-1,1",56 501,99 284,99 267
342,sor-aurdal,2981,841,1108,403,86,17,11 223,"82,9","6,3","79,3","82,9","0,7",78 336,108 673,107 288
343,sorfold,1975,620,673,257,37,7,2 787,"85,6","1,9",79,"83,3",—,—,—,—
344,sor-fron,3127,824,1181,428,91,6,8 844,"84,5","4,6","79,3","82,9","1,4",57 930,103 682,105 627
345,sor-odal,7879,2498,2687,1029,232,37,19 225,"82,7","5,8","78,9",83,"-0,2",75 177,82 201,80 946
346,sorreisa,3489,902,1188,578,105,6,4 688,83,"4,1","79,6","83,9",-1,72 920,87 827,87 921
347,sorum,18263,3778,5467,3212,1000,82,44 141,"68,7","12,7","80,5","84,3",1,119 313,77 974,76 079
348,sor-varanger,10156,2555,3191,1852,557,48,18 327,"72,5","7,7","77,2","82,3","2,5",121 730,97 870,95 545
349,time,18795,3774,5922,3243,1055,59,47 798,"75,9","9,6","80,1",84,"0,4",66 429,74 649,76 705
350,tingvoll,3045,690,1160,493,141,12,8 359,"84,2","3,6","80,6","84,7","4,3",97 435,107 902,101 856
351,tinn,5780,1441,2309,884,177,39,31 837,"74,9","9,1","79,1","82,8","0,1",57 805,120 841,124 066
352,tjeldsund,1259,345,484,177,30,4,2 183,"88,7","3,5",79,"83,3","4,2",113 359,116 693,113 410
353,tokke,2228,482,889,373,63,12,11 765,"80,8",8,"79,1","82,8","4,5",58 368,132 842,131 487
354,tolga,1551,262,614,313,70,5,9 679,"78,7","9,3","78,9",83,"2,1",60 085,108 885,106 601
355,torsken,931,355,279,110,24,10,448,"73,3","5,5","79,6","83,9","3,4",85 909,153 310,149 131
356,tranoy,1513,434,529,234,41,9,2 176,"82,9","6,3","79,6","83,9","4,1",72 027,142 888,135 928
357,tromso,76649,14616,19824,15784,9398,236,180 842,"72,4","7,7","79,6","83,9","-1,1",98 128,79 978,80 329
358,trondheim,196159,33008,52421,43579,25223,694,475 661,"69,1","9,9","80,1",84,"1,5",73 615,77 797,76 025
359,trysil,6607,1911,2362,947,200,52,17 107,79,"6,5","78,9",83,"-2,4",91 041,110 649,114 546
360,traena,456,130,154,69,12,1,1 188,"69,7","16,4",79,"83,3",—,—,—,—
361,trogstad,5347,1547,1888,693,141,25,12 557,"79,8","8,4","79,1","82,8","-1,6",75 376,83 546,83 966
362,tvedestrand,6069,1397,2148,1061,218,20,11 691,72,"12,8","78,8","83,3","1,1",63 599,88 397,88 356
363,tydal,794,211,351,130,17,4,4 370,"88,9","3,8","80,1",84,"3,5",81 608,185 355,184 389
364,tynset,5591,1104,2031,1032,279,44,29 019,"79,9","8,3","78,9",83,"2,7",76 564,110 592,106 429
365,tysnes,2846,639,1054,449,81,15,1 734,"84,6","3,5",80,"84,3","3,5",68 054,107 239,96 926
366,tysvaer,11028,2207,3868,1688,369,38,38 516,"82,3","6,7","80,1",84,"8,9",91 953,99 324,92 532
367,tonsberg,45974,8814,13484,10188,3333,200,199 008,"68,8","12,7","79,3","83,7","0,8",65 098,79 131,78 894
368,ullensaker,38234,8578,11284,5865,1848,186,72 251,"64,2","15,2","80,5","84,3",-1,102 415,71 624,71 171
369,ullensvang,3320,586,1385,579,133,12,7 313,"81,2","5,2",80,"84,3","-3,7",59 689,119 219,124 823
370,ulstein,8609,1591,2649,1699,438,41,13 299,"76,9","8,1","80,6","84,7","1,7",159 349,84 070,80 744
371,ulvik,1093,221,400,209,58,6,2 501,"74,2","6,1",80,"84,3","<a class=""definition tallet_285209"" href=""#forklaring-tall-285209"">Kommunens lånegjeld per innbygger: 75 981 kroner per 2018</a>",75 981,131 058,133 523
372,unjarga-nesseby,941,272,306,153,38,8,3 768,77,"8,3","77,2","82,3","5,9",127 763,171 408,158 773
373,utsira,196,42,69,43,8,1,2 297,"77,6","7,7","80,1",84,"11,6",135 107,212 219,191 944
374,vadso,5894,1602,1773,1099,390,42,15 769,"73,2","6,2","77,2","82,3","-0,3",167 511,113 181,102 433
375,vaksdal,4045,1094,1448,580,130,9,7 382,"81,8",6,80,"84,3","3,2",62 409,107 340,104 720
376,valle,1156,261,481,196,46,3,3 294,"82,4","9,5","78,8","83,3",—,—,—,—
377,vang,1610,336,620,278,77,5,6 015,"76,3","6,5","79,3","82,9","2,3",100 462,140 588,146 318
